x1,x2,y1,y2
-14.346,412.639,4.407,-0.698
-13.729,408.032,4.507,-0.658
-13.151,403.325,4.607,-0.618
-12.614,398.519,4.707,-0.578
-12.116,393.612,4.807,-0.538
-11.659,388.605,4.907,-0.498
-11.241,383.498,5.007,-0.458
-10.864,378.291,5.107,-0.418
-10.526,372.984,5.207,-0.378
-10.229,367.577,5.307,-0.338
-9.971,362.071,5.407,-0.298
-9.753,356.464,5.507,-0.258
-9.576,350.757,5.607,-0.218
-9.438,344.95,5.707,-0.178
-9.341,339.043,5.807,-0.138
-9.283,333.036,5.907,-0.098
-9.266,326.929,6.007,-0.058
-9.288,320.723,6.107,-0.018
-9.271,314.416,6.207,0.022
-9.293,308.009,6.307,-0.018
-9.276,301.502,6.407,0.022
-9.298,294.895,6.507,-0.018
-9.281,288.188,6.607,0.022
-9.303,281.381,6.707,-0.018
-9.285,274.475,6.807,0.022
-9.308,267.468,6.907,-0.018
-9.29,260.361,7.007,0.022
-9.313,253.154,7.107,-0.018
-9.295,245.847,7.207,0.022
-9.318,238.44,7.307,-0.018
-9.3,230.933,7.407,0.022
-9.323,223.327,7.507,-0.018
-9.305,215.62,7.607,0.022
-9.328,207.813,7.707,-0.018
-9.31,199.906,7.807,0.022
-9.293,191.999,7.907,-0.018
-9.275,184.092,7.907,-0.018
-9.257,176.186,7.907,-0.018
-9.24,168.279,7.907,-0.018
-9.222,160.372,7.907,-0.018
-9.205,152.465,7.907,-0.018
-9.187,144.558,7.907,-0.018
-9.17,136.651,7.907,-0.018
-9.152,128.744,7.907,-0.018
-9.135,120.838,7.907,-0.018
-9.117,112.931,7.907,-0.018
-9.1,105.024,7.907,-0.018
-9.082,97.117,7.907,-0.018
-9.065,89.21,7.907,-0.018
-9.047,81.303,7.907,-0.018
-9.029,73.396,7.907,-0.018
339.277,353.5,7.907,-0.018
339.237,353.6,7.907,-0.018
339.237,353.8,0.593,0
339.197,354.1,-0.1,0.04
339.197,354.5,-0.2,0
339.15,355,-0.3,0.04
339.129,355.599,-0.4,0
339.127,356.298,-0.5,0.047
339.137,357.094,-0.599,0.021
339.073,357.987,-0.698,0.002
339.007,358.976,-0.796,-0.01
338.932,360.059,-0.893,0.064
338.843,361.234,-0.989,0.066
338.732,362.5,-1.083,0.074
338.592,363.853,-1.175,0.089
338.417,365.292,-1.265,0.111
338.208,366.816,-1.353,0.14
337.963,368.426,-1.439,0.175
337.684,370.121,-1.524,0.21
337.37,371.902,-1.61,0.244
337.02,373.768,-1.695,0.279
336.636,375.719,-1.781,0.314
336.217,377.756,-1.866,0.349
335.763,379.879,-1.951,0.384
335.274,382.086,-2.037,0.419
334.75,384.38,-2.122,0.454
334.192,386.758,-2.208,0.489
333.598,389.222,-2.293,0.524
332.969,391.772,-2.379,0.559
332.306,394.407,-2.464,0.594
331.607,397.127,-2.55,0.629
330.874,399.933,-2.635,0.664
330.106,402.824,-2.72,0.698
329.303,405.801,-2.806,0.733
328.464,408.863,-2.891,0.768
327.666,411.825,-2.977,0.803
326.908,414.687,-3.062,0.838
326.19,417.449,-2.962,0.798
325.512,420.112,-2.862,0.758
324.874,422.674,-2.762,0.718
324.276,425.136,-2.662,0.678
323.717,427.498,-2.562,0.638
323.199,429.76,-2.462,0.598
322.721,431.922,-2.362,0.558
322.283,433.984,-2.262,0.518
321.885,435.947,-2.162,0.478
321.527,437.809,-2.062,0.438
321.209,439.571,-1.962,0.398
320.931,441.233,-1.862,0.358
320.618,442.981,-1.762,0.318
320.27,444.814,-1.662,0.278
319.887,446.732,-1.748,0.313
319.469,448.736,-1.833,0.348
319.016,450.825,-1.918,0.383
318.528,453,-2.004,0.418
318.006,455.26,-2.089,0.453
317.448,457.606,-2.175,0.488
316.856,460.037,-2.26,0.523
316.304,462.368,-2.346,0.557
315.791,464.599,-2.431,0.592
315.319,466.73,-2.331,0.552
314.886,468.761,-2.231,0.512
314.494,470.692,-2.131,0.472
314.141,472.523,-2.031,0.432
313.829,474.254,-1.931,0.392
313.557,475.885,-1.831,0.352
313.249,477.602,-1.731,0.312
312.907,479.404,-1.631,0.272
312.53,481.291,-1.717,0.307
312.118,483.264,-1.802,0.342
311.671,485.322,-1.887,0.377
311.189,487.466,-1.973,0.412
310.672,489.695,-2.058,0.447
310.12,492.01,-2.144,0.482
309.533,494.41,-2.229,0.517
308.912,496.895,-2.315,0.552
308.255,499.466,-2.4,0.587
307.564,502.122,-2.485,0.622
306.837,504.864,-2.571,0.657
306.076,507.691,-2.656,0.691
305.28,510.604,-2.742,0.726
304.523,513.416,-2.827,0.761
303.807,516.129,-2.913,0.796
303.131,518.742,-2.813,0.756
302.495,521.254,-2.713,0.716
301.899,523.667,-2.613,0.676
301.342,525.98,-2.513,0.636
300.826,528.192,-2.413,0.596
300.35,530.305,-2.313,0.556
299.914,532.317,-2.213,0.516
299.417,534.403,-2.113,0.476
298.855,536.559,-2.013,0.436
298.221,538.78,-2.086,0.496
297.509,541.063,-2.155,0.562
296.715,543.404,-2.221,0.634
295.831,545.797,-2.283,0.712
294.859,548.244,-2.341,0.795
293.928,550.592,-2.394,0.883
293.036,552.839,-2.447,0.972
292.184,554.986,-2.347,0.932
291.372,557.033,-2.247,0.892
290.6,558.98,-2.147,0.852
289.868,560.827,-2.047,0.812
289.176,562.574,-1.947,0.772
288.525,564.221,-1.847,0.732
287.913,565.768,-1.747,0.692
287.341,567.215,-1.647,0.652
286.809,568.562,-1.547,0.612
286.317,569.809,-1.447,0.572
285.865,570.956,-1.347,0.532
285.453,572.003,-1.247,0.492
285.081,572.95,-1.147,0.452
284.75,573.798,-1.047,0.412
284.329,574.698,-0.947,0.372
283.82,575.651,-0.847,0.332
283.223,576.658,-0.9,0.42
282.537,577.718,-0.953,0.509
281.762,578.831,-1.007,0.598
280.899,579.997,-1.06,0.686
279.947,581.217,-1.113,0.775
278.907,582.49,-1.166,0.863
277.906,583.662,-1.22,0.952
276.946,584.735,-1.273,1.04
276.026,585.708,-1.173,1
275.145,586.581,-1.073,0.96
274.305,587.353,-0.973,0.92
273.505,588.026,-0.873,0.88
272.744,588.599,-0.773,0.84
272.024,589.071,-0.673,0.8
271.344,589.444,-0.573,0.76
270.575,589.87,-0.473,0.72
269.717,590.349,-0.373,0.68
268.771,590.882,-0.426,0.769
267.737,591.467,-0.479,0.857
266.614,592.106,-0.532,0.946
265.402,592.798,-0.586,1.035
264.102,593.543,-0.639,1.123
262.713,594.342,-0.692,1.212
261.236,595.193,-0.745,1.3
259.67,596.098,-0.798,1.389
258.015,597.056,-0.852,1.477
256.272,598.067,-0.905,1.566
254.441,599.132,-0.958,1.654
252.52,600.249,-1.011,1.743
250.512,601.42,-1.064,1.832
248.415,602.644,-1.118,1.92
246.357,603.768,-1.171,2.009
244.34,604.793,-1.224,2.097
242.363,605.717,-1.124,2.057
240.426,606.541,-1.024,2.017
238.528,607.265,-0.924,1.977
236.671,607.889,-0.824,1.937
234.854,608.413,-0.724,1.897
233.077,608.837,-0.624,1.857
231.339,609.161,-0.524,1.817
